PassengerId,Survived
1,0
7,0
8,1
9,1
14,0
16,1
20,0
29,0
37,0
42,1
43,0
46,1
50,0
51,1
52,1
53,0
55,0
57,0
60,0
66,0
69,0
72,0
74,1
79,1
83,0
92,0
96,0
104,1
108,1
121,1
133,1
139,1
141,1
143,0
146,1
149,1
153,0
158,1
159,1
162,1
164,0
166,0
167,1
170,0
173,0
180,1
184,1
188,0
189,1
191,0
194,1
196,0
201,0
206,0
207,1
213,0
217,0
219,0
221,1
232,1
234,1
237,0
239,1
244,1
248,1
254,0
256,0
259,0
260,0
261,0
262,0
265,0
269,0
270,1
271,0
272,0
273,1
275,0
278,1
284,0
290,1
294,0
297,1
302,1
311,0
314,0
318,1
319,0
327,1
328,0
337,1
341,0
344,0
353,1
355,0
363,0
364,0
367,1
368,0
383,1
390,1
391,1
392,0
401,1
404,1
406,1
407,0
416,0
419,1
427,0
428,1
434,1
439,0
440,1
442,0
447,1
450,1
451,0
459,0
460,0
462,0
465,1
470,1
475,0
487,0
493,1
500,0
503,1
506,1
508,1
516,1
517,0
520,0
521,0
525,1
540,0
541,1
545,0
547,0
548,0
550,0
554,1
556,0
562,0
569,0
570,1
571,0
575,0
579,1
580,1
582,0
586,0
589,1
591,0
593,1
596,0
599,0
602,1
608,1
615,0
631,1
633,0
634,0
636,0
641,0
644,0
647,0
648,0
651,1
662,1
664,0
674,1
675,0
686,0
695,0
696,1
699,1
701,0
705,0
709,0
717,0
722,0
735,0
744,0
746,1
749,1
760,0
761,1
768,0
769,1
775,0
776,0
777,0
787,0
792,0
794,0
797,0
803,1
813,1
815,0
825,0
827,1
832,1
834,0
848,1
849,0
854,0
855,0
857,1
873,0
874,1
875,1
882,0
886,0
889,0
891,0
893,0
897,0
901,0
912,0
914,0
917,1
920,0
921,0
926,0
932,0
934,1
936,0
942,0
945,0
948,1
949,0
953,0
958,0
960,0
967,0
969,1
976,0
978,0
981,0
983,0
984,0
987,0
988,0
990,0
996,0
999,0
1002,0
1006,0
1014,1
1015,0
1021,0
1022,1
1027,1
1034,0
1040,0
1049,1
1054,0
1057,0
1062,0
1068,0
1076,0
1078,0
1090,1
1091,0
1096,1
1098,1
1100,0
1102,0
1111,0
1112,1
1118,1
1123,0
1124,1
1128,0
1130,1
1132,1
1136,1
1138,0
1153,0
1155,0
1157,1
1165,0
1167,0
1175,0
1179,1
1181,0
1182,0
1187,0
1189,0
1192,0
1195,0
1201,0
1203,0
1207,1
1209,0
1210,0
1212,0
1213,1
1216,1
1218,0
1222,0
1223,0
1224,0
1226,0
1229,1
1234,0
1235,0
1240,0
1245,1
1247,0
1249,0
1256,0
1260,1
1262,0
1270,1
1274,0
1278,0
1284,1
1291,1
1292,1
1300,0
1302,0
1306,0
1307,0
1308,0
1309,0
